date,description,amount,transaction_type
2023-04-21,Refund Credit,1841.69,credit
2023-04-22,BookMyShow Tickets,1469.46,debit
2023-04-22,Bonus Credit,42345.24,credit
2023-04-24,DMart Purchase,1235.89,debit
2023-04-24,ATM Withdrawal,4783.55,debit
2023-04-25,Petrol/Diesel,2948.66,debit
2023-04-25,Water Bill,709.96,debit
2023-04-27,Amazon Purchase,4745.63,debit
2023-04-27,ATM Withdrawal,2246.5,debit
2023-04-28,House Rent,25737.94,debit
2023-04-28,Swiggy Order,676.75,debit
2023-04-29,DMart Purchase,2142.44,debit
2023-04-30,Reliance Fresh,742.08,debit
2023-05-01,Dividend Credit,7593.05,credit
2023-05-01,Jio Recharge,271.58,debit
2023-05-03,Petrol/Diesel,2118.7,debit
2023-05-05,BookMyShow Tickets,1162.93,debit
2023-05-09,Myntra Fashion,1731.53,debit
2023-05-10,Online Course,2687.51,debit
2023-05-10,Reliance Fresh,1624.31,debit
2023-05-11,Amazon Purchase,5016.99,debit
2023-05-11,Insurance Premium,2664.01,debit
2023-05-12,Uber Ride,578.21,debit
2023-05-13,Metro Card Recharge,801.05,debit
2023-05-13,Metro Card Recharge,928.13,debit
2023-05-13,Spa & Wellness,1031.59,debit
2023-05-14,Ola Cab,464.41,debit
2023-05-15,Book Purchase,313.5,debit
2023-05-15,Amazon Purchase,2833.24,debit
2023-05-16,Metro Card Recharge,270.76,debit
2023-05-16,PVR Cinemas,539.99,debit
2023-05-17,Petrol/Diesel,2533.73,debit
2023-05-17,PVR Cinemas,749.81,debit
2023-05-18,Metro Card Recharge,899.18,debit
2023-05-19,BookMyShow Tickets,1375.68,debit
2023-05-20,Dividend Credit,10990.14,credit
2023-05-21,PVR Cinemas,321.46,debit
2023-05-24,Coffee Shop,373.34,debit
2023-05-24,Restaurant Dinner,1764.9,debit
2023-05-25,DMart Purchase,3128.81,debit
2023-05-26,Uber Ride,596.09,debit
2023-05-28,Book Purchase,1381.87,debit
2023-05-28,Hotel Stay,5717.49,debit
2023-05-29,Petrol/Diesel,1801.87,debit
2023-05-30,Book Purchase,1069.9,debit
2023-05-30,Uber Ride,259.84,debit
2023-06-01,ATM Withdrawal,1018.35,debit
2023-06-03,Travel Booking,8914.71,debit
2023-06-03,Ola Cab,153.49,debit
2023-06-04,Insurance Premium,2926.72,debit
2023-06-05,DMart Purchase,1171.91,debit
2023-06-06,Myntra Fashion,3222.24,debit
2023-06-06,Cashback Credit,221.56,credit
2023-06-06,Hair Salon,986.78,debit
2023-06-07,Bonus Credit,10041.11,credit
2023-06-07,Transfer Received,11087.19,credit
2023-06-08,Book Purchase,820.64,debit
2023-06-10,Gym Membership,2243.23,debit
2023-06-10,Transfer Received,15613.12,credit
2023-06-10,Apollo Pharmacy,1174.26,debit
2023-06-11,Zomato Food Delivery,699.02,debit
2023-06-16,BigBasket Groceries,2293.0,debit
2023-06-17,Zomato Food Delivery,208.87,debit
2023-06-17,Online Course,4420.67,debit
2023-06-19,MedPlus Medical Store,957.01,debit
2023-06-20,School Fees,14222.59,debit
2023-06-21,Online Course,3546.46,debit
2023-06-21,Swiggy Order,654.68,debit
2023-06-23,Coffee Shop,492.42,debit
2023-06-23,Freelance Payment,12376.2,credit
2023-06-23,Myntra Fashion,1123.24,debit
2023-06-24,Refund Credit,2123.0,credit
2023-06-24,Uber Ride,373.14,debit
2023-06-25,Uber Ride,276.25,debit
2023-06-25,BookMyShow Tickets,757.43,debit
2023-06-25,Electricity Bill,1069.9,debit
2023-06-26,Flipkart Order,1287.76,debit
2023-06-26,Myntra Fashion,3985.7,debit
2023-06-28,Coffee Shop,161.67,debit
2023-06-28,Restaurant Dinner,2403.5,debit
2023-06-28,Flipkart Order,3888.48,debit
2023-06-29,Salary Credit,55264.17,credit
2023-07-02,Rental Income,21284.56,credit
2023-07-04,Flipkart Order,1645.43,debit
2023-07-04,BigBasket Groceries,3000.83,debit
2023-07-08,Reliance Fresh,1244.95,debit
2023-07-09,BookMyShow Tickets,958.46,debit
2023-07-10,Airtel Mobile Bill,663.94,debit
2023-07-11,Water Bill,308.39,debit
2023-07-11,Ola Cab,97.22,debit
2023-07-11,Apollo Pharmacy,1780.36,debit
2023-07-13,Gym Membership,1210.92,debit
2023-07-13,Spotify Premium,119.0,debit
2023-07-13,Hair Salon,1160.82,debit
2023-07-14,Metro Card Recharge,742.32,debit
2023-07-14,Restaurant Dinner,2280.46,debit
2023-07-15,Uber Ride,204.64,debit
2023-07-17,PVR Cinemas,573.18,debit
2023-07-17,Hotel Stay,8024.36,debit
2023-07-18,Refund Credit,4078.68,credit
2023-07-18,Spa & Wellness,1352.79,debit
2023-07-20,Refund Credit,3713.61,credit
2023-07-22,Travel Booking,17323.34,debit
2023-07-23,Petrol/Diesel,1671.13,debit
2023-07-24,PVR Cinemas,434.78,debit
2023-07-24,House Rent,17957.56,debit
2023-07-25,Gym Membership,1512.67,debit
2023-07-26,Bonus Credit,38830.94,credit
2023-07-26,Gym Membership,2396.66,debit
2023-07-27,ATM Withdrawal,3431.98,debit
2023-07-27,Zomato Food Delivery,474.18,debit
2023-07-28,Netflix Subscription,181.36,debit
2023-07-28,Netflix Subscription,274.97,debit
2023-07-29,Freelance Payment,23625.65,credit
2023-07-30,BigBasket Groceries,2423.61,debit
2023-07-30,Salary Credit,106036.52,credit
2023-08-01,Salary Credit,89300.83,credit
2023-08-02,Online Course,4095.24,debit
2023-08-02,Spotify Premium,119.0,debit
2023-08-02,Rental Income,5560.98,credit
2023-08-02,Transfer Received,12037.01,credit
2023-08-03,Hotel Stay,5868.38,debit
2023-08-04,BookMyShow Tickets,1269.7,debit
2023-08-04,Netflix Subscription,434.07,debit
2023-08-06,Zomato Food Delivery,124.56,debit
2023-08-06,BigBasket Groceries,2064.26,debit
2023-08-06,Hair Salon,620.76,debit
2023-08-08,Maintenance Charges,2953.25,debit
2023-08-08,Interest Credit,1505.17,credit
2023-08-08,Reliance Fresh,1670.59,debit
2023-08-08,School Fees,3926.16,debit
2023-08-09,Jio Recharge,423.82,debit
2023-08-12,Netflix Subscription,188.9,debit
2023-08-12,MedPlus Medical Store,1441.74,debit
2023-08-14,Uber Ride,148.73,debit
2023-08-15,Hotel Stay,7565.29,debit
2023-08-15,Refund Credit,2495.61,credit
2023-08-16,Reliance Fresh,1673.68,debit
2023-08-17,Cashback Credit,769.47,credit
2023-08-19,Amazon Purchase,1951.28,debit
2023-08-20,School Fees,8173.1,debit
2023-08-20,MedPlus Medical Store,1261.05,debit
2023-08-21,Salary Credit,59646.93,credit
2023-08-22,BigBasket Groceries,731.29,debit
2023-08-23,Hair Salon,1435.72,debit
2023-08-23,Freelance Payment,16038.21,credit
2023-08-24,Jio Recharge,384.93,debit
2023-08-24,Zomato Food Delivery,375.48,debit
2023-08-25,Online Course,3797.33,debit
2023-08-27,Cashback Credit,487.15,credit
2023-08-29,Transfer Received,22322.78,credit
2023-08-29,Spotify Premium,119.0,debit
2023-08-29,BigBasket Groceries,2086.44,debit
2023-08-30,Hair Salon,581.61,debit
2023-08-30,Ola Cab,324.66,debit
2023-09-02,Zomato Food Delivery,779.32,debit
2023-09-03,Freelance Payment,17230.46,credit
2023-09-04,Dividend Credit,3700.99,credit
2023-09-05,Spa & Wellness,1144.56,debit
2023-09-05,Dividend Credit,11529.87,credit
2023-09-05,ATM Withdrawal,3701.22,debit
2023-09-07,Reliance Fresh,1698.41,debit
2023-09-08,Jio Recharge,330.71,debit
2023-09-09,Bonus Credit,16789.76,credit
2023-09-10,Insurance Premium,6701.93,debit
2023-09-10,Hair Salon,1020.4,debit
2023-09-10,Airtel Mobile Bill,711.18,debit
2023-09-10,Bonus Credit,5229.06,credit
2023-09-10,Zomato Food Delivery,264.15,debit
2023-09-11,DMart Purchase,835.01,debit
2023-09-12,Coffee Shop,150.75,debit
2023-09-12,Netflix Subscription,246.11,debit
2023-09-12,PVR Cinemas,781.12,debit
2023-09-12,Jio Recharge,435.47,debit
2023-09-13,Swiggy Order,417.2,debit
2023-09-14,Coffee Shop,340.0,debit
2023-09-14,MedPlus Medical Store,1182.56,debit
2023-09-15,Restaurant Dinner,1559.55,debit
2023-09-15,Reliance Fresh,217.5,debit
2023-09-16,Insurance Premium,3555.35,debit
2023-09-16,Gym Membership,1210.78,debit
2023-09-16,Apollo Pharmacy,302.51,debit
2023-09-16,Bonus Credit,7378.91,credit
2023-09-16,Travel Booking,2245.68,debit
2023-09-18,Apollo Pharmacy,1773.91,debit
2023-09-18,Metro Card Recharge,661.53,debit
2023-09-18,Coffee Shop,290.78,debit
2023-09-19,Airtel Mobile Bill,888.08,debit
2023-09-19,Travel Booking,14838.01,debit
2023-09-23,Hair Salon,1054.86,debit
2023-09-24,School Fees,10980.64,debit
2023-09-24,Restaurant Dinner,2460.87,debit
2023-09-24,Online Course,850.41,debit
2023-09-25,BookMyShow Tickets,892.32,debit
2023-09-25,Maintenance Charges,966.39,debit
2023-09-26,Hair Salon,652.67,debit
2023-09-26,Reliance Fresh,1689.3,debit
2023-09-26,Ola Cab,433.92,debit
2023-09-28,Airtel Mobile Bill,419.22,debit
2023-09-29,Travel Booking,13456.28,debit
2023-09-29,Hotel Stay,9308.3,debit
2023-09-30,Jio Recharge,590.21,debit
2023-10-01,Water Bill,394.78,debit
2023-10-05,Ola Cab,179.97,debit
2023-10-07,Book Purchase,830.19,debit
2023-10-07,BookMyShow Tickets,401.14,debit
2023-10-07,Travel Booking,14332.19,debit
2023-10-09,Ola Cab,116.18,debit
2023-10-09,Amazon Purchase,2839.39,debit
2023-10-10,Dividend Credit,7147.52,credit
2023-10-10,Interest Credit,1443.65,credit
2023-10-10,Water Bill,671.16,debit
2023-10-10,Freelance Payment,27428.67,credit
2023-10-12,Freelance Payment,26725.13,credit
2023-10-12,Rental Income,22227.78,credit
2023-10-14,Hotel Stay,7768.85,debit
2023-10-14,Electricity Bill,4488.77,debit
2023-10-15,Spa & Wellness,598.98,debit
2023-10-15,Airtel Mobile Bill,849.64,debit
2023-10-15,Petrol/Diesel,3210.35,debit
2023-10-16,Netflix Subscription,645.71,debit
2023-10-17,Flipkart Order,823.03,debit
2023-10-18,Zomato Food Delivery,310.61,debit
2023-10-19,Airtel Mobile Bill,386.74,debit
2023-10-20,Refund Credit,433.53,credit
2023-10-21,BigBasket Groceries,2629.4,debit
2023-10-22,Reliance Fresh,355.22,debit
2023-10-23,ATM Withdrawal,4873.19,debit
2023-10-24,Transfer Received,41140.01,credit
2023-10-26,Electricity Bill,4784.92,debit
2023-10-26,Bonus Credit,32149.83,credit
2023-10-28,Online Course,3397.1,debit
2023-10-28,Metro Card Recharge,557.36,debit
2023-10-29,Myntra Fashion,3114.71,debit
2023-10-30,School Fees,10832.79,debit
2023-10-31,PVR Cinemas,536.38,debit
2023-11-01,Flipkart Order,2587.31,debit
2023-11-02,Rental Income,8402.46,credit
2023-11-02,Apollo Pharmacy,531.16,debit
2023-11-04,Airtel Mobile Bill,736.33,debit
2023-11-04,Water Bill,574.28,debit
2023-11-06,Ola Cab,490.2,debit
2023-11-07,DMart Purchase,3121.17,debit
2023-11-11,Amazon Purchase,520.98,debit
2023-11-11,Cashback Credit,839.16,credit
2023-11-12,Restaurant Dinner,2164.38,debit
2023-11-12,Reliance Fresh,1841.13,debit
2023-11-13,BookMyShow Tickets,1233.64,debit
2023-11-13,Airtel Mobile Bill,802.4,debit
2023-11-15,Myntra Fashion,2740.76,debit
2023-11-17,Reliance Fresh,1617.94,debit
2023-11-18,DMart Purchase,1920.95,debit
2023-11-20,Insurance Premium,3627.01,debit
2023-11-20,Rental Income,7825.55,credit
2023-11-20,BigBasket Groceries,2277.37,debit
2023-11-21,Travel Booking,2575.46,debit
2023-11-22,PVR Cinemas,301.29,debit
2023-11-23,ATM Withdrawal,2265.29,debit
2023-11-24,Transfer Received,30032.68,credit
2023-11-25,Hair Salon,1447.61,debit
2023-11-25,Water Bill,758.19,debit
2023-11-27,Freelance Payment,21109.93,credit
2023-11-28,Water Bill,614.42,debit
2023-11-29,Amazon Purchase,7379.39,debit
2023-11-30,Myntra Fashion,1618.88,debit
2023-11-30,Metro Card Recharge,428.02,debit
2023-11-30,Water Bill,238.77,debit
2023-12-03,Flipkart Order,2081.02,debit
2023-12-03,Coffee Shop,398.86,debit
2023-12-07,Netflix Subscription,504.91,debit
2023-12-08,Flipkart Order,1951.04,debit
2023-12-10,Uber Ride,296.15,debit
2023-12-10,School Fees,8568.8,debit
2023-12-11,Electricity Bill,3165.64,debit
2023-12-11,Insurance Premium,9573.51,debit
2023-12-11,Reliance Fresh,807.83,debit
2023-12-12,Refund Credit,3081.89,credit
2023-12-12,Hotel Stay,9182.29,debit
2023-12-16,Reliance Fresh,477.89,debit
2023-12-16,DMart Purchase,548.05,debit
2023-12-16,Metro Card Recharge,344.54,debit
2023-12-18,Insurance Premium,1038.96,debit
2023-12-22,Spa & Wellness,2406.16,debit
2023-12-22,Jio Recharge,405.91,debit
2023-12-23,Metro Card Recharge,804.65,debit
2023-12-24,Salary Credit,58613.8,credit
2023-12-25,Spotify Premium,119.0,debit
2023-12-25,Interest Credit,1784.21,credit
2023-12-26,Interest Credit,2364.93,credit
2023-12-26,Book Purchase,597.6,debit
2023-12-27,Spa & Wellness,2858.39,debit
2023-12-27,Freelance Payment,11847.63,credit
2023-12-27,Petrol/Diesel,1119.13,debit
2023-12-28,Airtel Mobile Bill,498.75,debit
2023-12-30,BookMyShow Tickets,290.29,debit
2023-12-31,Uber Ride,544.2,debit
2024-01-01,Uber Ride,140.95,debit
2024-01-01,Uber Ride,503.27,debit
2024-01-02,Jio Recharge,260.09,debit
2024-01-02,Coffee Shop,205.62,debit
2024-01-02,Book Purchase,535.33,debit
2024-01-02,Zomato Food Delivery,463.13,debit
2024-01-03,Travel Booking,10871.12,debit
2024-01-05,BigBasket Groceries,1210.78,debit
2024-01-05,Hotel Stay,4197.75,debit
2024-01-05,Zomato Food Delivery,361.92,debit
2024-01-05,Cashback Credit,852.39,credit
2024-01-05,Travel Booking,15957.16,debit
2024-01-08,Maintenance Charges,1298.29,debit
2024-01-09,Electricity Bill,1256.52,debit
2024-01-09,Flipkart Order,4564.21,debit
2024-01-11,Netflix Subscription,420.86,debit
2024-01-11,Bonus Credit,12359.97,credit
2024-01-11,Swiggy Order,145.23,debit
2024-01-12,Flipkart Order,317.53,debit
2024-01-13,Uber Ride,426.09,debit
2024-01-13,Swiggy Order,353.97,debit
2024-01-17,BookMyShow Tickets,832.41,debit
2024-01-20,Insurance Premium,7969.46,debit
2024-01-21,House Rent,20529.33,debit
2024-01-21,Amazon Purchase,4668.14,debit
2024-01-22,Netflix Subscription,563.87,debit
2024-01-23,Restaurant Dinner,2460.41,debit
2024-01-24,Insurance Premium,4555.58,debit
2024-01-24,Transfer Received,36788.06,credit
2024-01-25,Swiggy Order,599.91,debit
2024-01-28,Restaurant Dinner,1545.9,debit
2024-01-28,Gym Membership,2283.17,debit
2024-01-30,Insurance Premium,1207.34,debit
2024-02-03,Zomato Food Delivery,892.41,debit
2024-02-04,ATM Withdrawal,2271.98,debit
2024-02-06,Metro Card Recharge,745.55,debit
2024-02-07,DMart Purchase,1159.65,debit
2024-02-10,Book Purchase,220.17,debit
2024-02-11,Bonus Credit,6811.53,credit
2024-02-11,Interest Credit,1309.33,credit
2024-02-12,Coffee Shop,131.56,debit
2024-02-13,Salary Credit,70428.21,credit
2024-02-13,Restaurant Dinner,1841.14,debit
2024-02-14,Maintenance Charges,573.15,debit
2024-02-14,Jio Recharge,429.32,debit
2024-02-14,Spa & Wellness,1593.79,debit
2024-02-15,House Rent,13500.52,debit
2024-02-17,House Rent,12165.82,debit
2024-02-18,Myntra Fashion,653.34,debit
2024-02-18,Uber Ride,204.97,debit
2024-02-21,Electricity Bill,2009.44,debit
2024-02-21,Zomato Food Delivery,402.67,debit
2024-02-22,Coffee Shop,145.37,debit
2024-02-23,BigBasket Groceries,2277.62,debit
2024-02-23,MedPlus Medical Store,1391.24,debit
2024-02-23,DMart Purchase,1606.59,debit
2024-02-25,Netflix Subscription,513.17,debit
2024-02-26,Online Course,880.0,debit
2024-02-26,Hair Salon,406.42,debit
2024-02-26,MedPlus Medical Store,1218.06,debit
2024-02-27,DMart Purchase,2056.24,debit
2024-02-27,Apollo Pharmacy,716.1,debit
2024-02-29,Hair Salon,851.11,debit
2024-03-01,Spa & Wellness,2488.6,debit
2024-03-04,Myntra Fashion,2774.09,debit
2024-03-05,Apollo Pharmacy,708.88,debit
2024-03-05,BigBasket Groceries,2710.69,debit
2024-03-05,Hotel Stay,6489.53,debit
2024-03-05,BookMyShow Tickets,1155.91,debit
2024-03-06,MedPlus Medical Store,604.89,debit
2024-03-06,Swiggy Order,554.05,debit
2024-03-07,Jio Recharge,552.57,debit
2024-03-07,Electricity Bill,3215.58,debit
2024-03-09,School Fees,5508.03,debit
2024-03-10,Swiggy Order,468.21,debit
2024-03-11,Ola Cab,389.96,debit
2024-03-12,Refund Credit,1243.82,credit
2024-03-16,ATM Withdrawal,1472.18,debit
2024-03-17,Water Bill,636.02,debit
2024-03-17,Metro Card Recharge,247.05,debit
2024-03-18,Metro Card Recharge,350.33,debit
2024-03-22,Interest Credit,1035.27,credit
2024-03-22,DMart Purchase,1112.27,debit
2024-03-23,Spa & Wellness,2957.76,debit
2024-03-24,ATM Withdrawal,3222.88,debit
2024-03-24,Metro Card Recharge,980.05,debit
2024-03-25,Electricity Bill,1542.29,debit
2024-03-25,MedPlus Medical Store,593.63,debit
2024-03-25,Salary Credit,86018.44,credit
2024-03-26,Interest Credit,1168.98,credit
2024-03-28,Spa & Wellness,2918.24,debit
2024-03-30,Electricity Bill,1622.01,debit
2024-03-30,Insurance Premium,8564.11,debit
2024-03-31,Metro Card Recharge,617.18,debit
2024-03-31,Reliance Fresh,1598.06,debit
2024-04-04,Salary Credit,113848.99,credit
2024-04-05,Ola Cab,466.19,debit
2024-04-07,School Fees,14451.08,debit
2024-04-07,Reliance Fresh,847.74,debit
2024-04-07,Metro Card Recharge,749.41,debit
2024-04-10,Insurance Premium,6112.44,debit
2024-04-11,Freelance Payment,14005.92,credit
2024-04-11,Salary Credit,42108.31,credit
2024-04-12,Refund Credit,2184.37,credit
2024-04-13,Book Purchase,457.75,debit
2024-04-14,House Rent,15540.03,debit
2024-04-16,PVR Cinemas,381.46,debit
2024-04-16,Restaurant Dinner,1770.06,debit
2024-04-17,Flipkart Order,469.42,debit
2024-04-19,School Fees,6792.32,debit
2024-04-19,MedPlus Medical Store,229.71,debit
2024-04-20,Hotel Stay,6979.71,debit
2024-04-20,House Rent,28278.18,debit
2024-04-23,Water Bill,600.15,debit
2024-04-23,Zomato Food Delivery,329.94,debit
2024-04-25,Airtel Mobile Bill,596.52,debit
2024-04-26,Book Purchase,1438.96,debit
2024-04-27,Netflix Subscription,606.95,debit
2024-04-28,Insurance Premium,8600.46,debit
2024-04-29,Metro Card Recharge,206.29,debit
2024-04-29,Travel Booking,8930.88,debit
2024-04-29,Rental Income,13593.3,credit
2024-04-29,Water Bill,210.7,debit
2024-05-02,PVR Cinemas,571.38,debit
2024-05-02,Salary Credit,62456.01,credit
2024-05-03,Ola Cab,421.52,debit
2024-05-03,Zomato Food Delivery,448.91,debit
2024-05-03,Freelance Payment,11886.49,credit
2024-05-03,BigBasket Groceries,916.59,debit
2024-05-05,Metro Card Recharge,447.41,debit
2024-05-05,Coffee Shop,238.94,debit
2024-05-07,Airtel Mobile Bill,889.89,debit
2024-05-07,Spa & Wellness,2940.87,debit
2024-05-07,Cashback Credit,227.68,credit
2024-05-07,Insurance Premium,2803.16,debit
2024-05-09,Airtel Mobile Bill,807.56,debit
2024-05-09,Travel Booking,7620.31,debit
2024-05-09,Amazon Purchase,2827.1,debit
2024-05-10,BigBasket Groceries,666.69,debit
2024-05-11,PVR Cinemas,632.23,debit
2024-05-15,BookMyShow Tickets,1310.77,debit
2024-05-15,Electricity Bill,2139.21,debit
2024-05-16,Bonus Credit,27187.26,credit
2024-05-16,Refund Credit,918.64,credit
2024-05-16,ATM Withdrawal,535.74,debit
2024-05-17,Hotel Stay,5084.64,debit
2024-05-18,Zomato Food Delivery,257.34,debit
2024-05-19,Myntra Fashion,1770.49,debit
2024-05-20,Spa & Wellness,1650.51,debit
2024-05-21,Freelance Payment,18286.75,credit
2024-05-21,Hair Salon,232.05,debit
2024-05-22,Airtel Mobile Bill,713.77,debit
2024-05-26,House Rent,14837.73,debit
2024-05-29,Maintenance Charges,669.88,debit
2024-06-01,Travel Booking,19418.3,debit
2024-06-02,Bonus Credit,35041.39,credit
2024-06-02,Water Bill,562.33,debit
2024-06-03,Swiggy Order,679.42,debit
2024-06-06,Netflix Subscription,349.03,debit
2024-06-09,MedPlus Medical Store,656.33,debit
2024-06-10,Freelance Payment,18544.48,credit
2024-06-14,Zomato Food Delivery,649.14,debit
2024-06-15,Maintenance Charges,809.53,debit
2024-06-16,Petrol/Diesel,3897.53,debit
2024-06-17,Online Course,4366.77,debit
2024-06-18,Bonus Credit,17683.04,credit
2024-06-18,Ola Cab,121.29,debit
2024-06-19,Insurance Premium,5919.58,debit
2024-06-20,House Rent,26645.75,debit
2024-06-20,Zomato Food Delivery,768.53,debit
2024-06-21,PVR Cinemas,666.49,debit
2024-06-22,Uber Ride,255.78,debit
2024-06-23,Gym Membership,1533.95,debit
2024-06-23,MedPlus Medical Store,1026.19,debit
2024-06-24,DMart Purchase,1364.93,debit
2024-06-24,Netflix Subscription,488.6,debit
2024-06-26,Spotify Premium,119.0,debit
2024-06-27,Refund Credit,4062.09,credit
2024-06-27,Transfer Received,5119.27,credit
2024-06-28,Restaurant Dinner,1337.67,debit
2024-06-28,Hair Salon,1183.99,debit
2024-06-28,Cashback Credit,572.62,credit
2024-07-01,School Fees,5602.89,debit
2024-07-01,Travel Booking,12877.21,debit
2024-07-01,Amazon Purchase,365.42,debit
2024-07-03,Netflix Subscription,260.96,debit
2024-07-03,Netflix Subscription,541.86,debit
2024-07-04,Coffee Shop,373.58,debit
2024-07-05,BookMyShow Tickets,1128.78,debit
2024-07-10,Reliance Fresh,1273.5,debit
2024-07-12,Bonus Credit,40535.14,credit
2024-07-13,Coffee Shop,229.56,debit
2024-07-13,Transfer Received,24288.15,credit
2024-07-14,Myntra Fashion,1992.06,debit
2024-07-15,Spa & Wellness,1677.73,debit
